Archivo_Original;Nuevo_Nombre;Categoria;Resultado;Razon
other\check-subjectaccessreview\check-subjectaccessreview.yaml;check-subjectaccessreview.yaml;other;DESCARTADA;API Call / Contexto
other\check-vpa-configuration\check-vpa-configuration.yaml;check-vpa-configuration.yaml;other;DESCARTADA;API Call / Contexto
other\concatenate-configmaps\concatenate-configmaps.yaml;concatenate-configmaps.yaml;other;DESCARTADA;Mutación/Generación
other\copy-namespace-labels\copy-namespace-labels.yaml;copy-namespace-labels.yaml;other;DESCARTADA;Mutación/Generación
other\cordon-and-drain-node\cordon-and-drain-node.yaml;cordon-and-drain-node.yaml;other;DESCARTADA;Mutación/Generación
other\create-default-pdb\create-default-pdb.yaml;create-default-pdb.yaml;other;DESCARTADA;Mutación/Generación
other\create-pod-antiaffinity\create-pod-antiaffinity.yaml;create-pod-antiaffinity.yaml;other;DESCARTADA;Mutación/Generación
other\deny-commands-in-exec-probe\deny-commands-in-exec-probe.yaml;deny-commands-in-exec-probe.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\deny-secret-service-account-token-type\deny-secret-service-account-token-type.yaml;deny-secret-service-account-token-type.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\deployment-replicas-higher-than-pdb\deployment-replicas-higher-than-pdb.yaml;deployment-replicas-higher-than-pdb.yaml;other;DESCARTADA;API Call / Contexto
other\disable-automountserviceaccounttoken\disable-automountserviceaccounttoken.yaml;disable-automountserviceaccounttoken.yaml;other;DESCARTADA;Mutación/Generación
other\disable-service-discovery\disable-service-discovery.yaml;disable-service-discovery.yaml;other;DESCARTADA;Mutación/Generación
other\disallow-all-secrets\disallow-all-secrets.yaml;disallow-all-secrets.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\disallow-localhost-services\disallow-localhost-services.yaml;disallow-localhost-services.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\disallow-secrets-from-env-vars\disallow-secrets-from-env-vars.yaml;disallow-secrets-from-env-vars.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\dns-policy-and-dns-config\dns-policy-and-dns-config.yaml;dns-policy-and-dns-config.yaml;other;DESCARTADA;Mutación/Generación
other\docker-socket-requires-label\docker-socket-requires-label.yaml;docker-socket-requires-label.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\enforce-pod-duration\enforce-pod-duration.yaml;enforce-pod-duration.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\enforce-readwriteonce-pod\enforce-readwriteonce-pod.yaml;enforce-readwriteonce-pod.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\enforce-resources-as-ratio\enforce-resources-as-ratio.yaml;enforce-resources-as-ratio.yaml;other;DESCARTADA;Estructura foreach
other\ensure-probes-different\ensure-probes-different.yaml;ensure-probes-different.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\ensure-production-matches-staging\ensure-production-matches-staging.yaml;ensure-production-matches-staging.yaml;other;DESCARTADA;API Call / Contexto
other\ensure-readonly-hostpath\ensure-readonly-hostpath.yaml;ensure-readonly-hostpath.yaml;other;DESCARTADA;Estructura foreach
other\exclude-namespaces-dynamically\exclude-namespaces-dynamically.yaml;exclude-namespaces-dynamically.yaml;other;DESCARTADA;API Call / Contexto
other\expiration-for-policyexceptions\expiration-for-policyexceptions.yaml;expiration-for-policyexceptions.yaml;other;DESCARTADA;Mutación/Generación
other\forbid-cpu-limits\forbid-cpu-limits.yaml;forbid-cpu-limits.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\generate-networkpolicy-existing\generate-networkpolicy-existing.yaml;generate-networkpolicy-existing.yaml;other;DESCARTADA;Mutación/Generación
other\get-debug-information\get-debug-information.yaml;get-debug-information.yaml;other;DESCARTADA;Mutación/Generación
other\imagepullpolicy-always\imagepullpolicy-always.yaml;imagepullpolicy-always.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\ingress-host-match-tls\ingress-host-match-tls.yaml;ingress-host-match-tls.yaml;other;DESCARTADA;Variables dinámicas complejas
other\inject-env-var-from-image-label\inject-env-var-from-image-label.yaml;inject-env-var-from-image-label.yaml;other;DESCARTADA;Mutación/Generación
other\inject-sidecar-deployment\inject-sidecar-deployment.yaml;inject-sidecar-deployment.yaml;other;DESCARTADA;Mutación/Generación
other\inspect-csr\inspect-csr.yaml;inspect-csr.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\kubernetes-version-check\kubernetes-version-check.yaml;kubernetes-version-check.yaml;other;DESCARTADA;Mutación/Generación
other\label-existing-namespaces\label-existing-namespaces.yaml;label-existing-namespaces.yaml;other;DESCARTADA;Mutación/Generación
other\label-nodes-cri\label-nodes-cri.yaml;label-nodes-cri.yaml;other;DESCARTADA;Mutación/Generación
other\limit-configmap-for-sa\limit-configmap-for-sa.yaml;limit-configmap-for-sa.yaml;other;DESCARTADA;Variables dinámicas complejas
other\limit-containers-per-pod\limit-containers-per-pod.yaml;limit-containers-per-pod.yaml;other;DESCARTADA;Variables dinámicas complejas
other\limit-hostpath-type-pv\limit-hostpath-type-pv.yaml;limit-hostpath-type-pv.yaml;other;DESCARTADA;Variables dinámicas complejas
other\limit-hostpath-vols\limit-hostpath-vols.yaml;limit-hostpath-vols.yaml;other;DESCARTADA;Estructura foreach
other\memory-requests-equal-limits\memory-requests-equal-limits.yaml;memory-requests-equal-limits.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\metadata-match-regex\metadata-match-regex.yaml;metadata-match-regex.yaml;other;DESCARTADA;Variables dinámicas complejas
other\mitigate-log4shell\mitigate-log4shell.yaml;mitigate-log4shell.yaml;other;DESCARTADA;Mutación/Generación
other\mutate-large-termination-gps\mutate-large-termination-gps.yaml;mutate-large-termination-gps.yaml;other;DESCARTADA;Mutación/Generación
other\mutate-pod-binding\mutate-pod-binding.yaml;mutate-pod-binding.yaml;other;DESCARTADA;Mutación/Generación
other\namespace-inventory-check\namespace-inventory-check.yaml;namespace-inventory-check.yaml;other;DESCARTADA;API Call / Contexto
other\namespace-protection\namespace-protection.yaml;namespace-protection.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\nfs-subdir-external-provisioner-storage-path\nfs-subdir-external-provisioner-storage-path.yaml;nfs-subdir-external-provisioner-storage-path.yaml;other;DESCARTADA;Variables dinámicas complejas
other\only-trustworthy-registries-set-root\only-trustworthy-registries-set-root.yaml;only-trustworthy-registries-set-root.yaml;other;DESCARTADA;Estructura foreach
other\pdb-maxunavailable\pdb-maxunavailable.yaml;pdb-maxunavailable.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\pdb-maxunavailable-with-deployments\pdb-maxunavailable-with-deployments.yaml;pdb-maxunavailable-with-deployments.yaml;other;DESCARTADA;API Call / Contexto
other\pdb-minavailable\pdb-minavailable.yaml;pdb-minavailable.yaml;other;DESCARTADA;API Call / Contexto
other\policy-for-exceptions\policy-for-exceptions.yaml;policy-for-exceptions.yaml;other;DESCARTADA;Variables dinámicas complejas
other\prepend-image-registry\prepend-image-registry.yaml;prepend-image-registry.yaml;other;DESCARTADA;Mutación/Generación
other\prevent-bare-pods\prevent-bare-pods.yaml;prevent-bare-pods.yaml;other;DESCARTADA;Variables dinámicas complejas
other\prevent-cr8escape\prevent-cr8escape.yaml;prevent-cr8escape.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\prevent-duplicate-hpa\prevent-duplicate-hpa.yaml;prevent-duplicate-hpa.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\prevent-duplicate-vpa\prevent-duplicate-vpa.yaml;prevent-duplicate-vpa.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\protect-node-taints\protect-node-taints.yaml;protect-node-taints.yaml;other;DESCARTADA;Variables dinámicas complejas
other\record-creation-details\record-creation-details.yaml;record-creation-details.yaml;other;DESCARTADA;Mutación/Generación
other\refresh-env-var-in-pod\refresh-env-var-in-pod.yaml;refresh-env-var-in-pod.yaml;other;DESCARTADA;Mutación/Generación
other\refresh-volumes-in-pods\refresh-volumes-in-pods.yaml;refresh-volumes-in-pods.yaml;other;DESCARTADA;Mutación/Generación
