Archivo;Categoria;Resultado;Razon
ingress-host-match-tls.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
inject-env-var-from-image-label.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
inject-sidecar-deployment.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
inspect-csr.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kubernetes-version-check.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
label-existing-namespaces.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
label-nodes-cri.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
limit-configmap-for-sa.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
limit-containers-per-pod.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\limit-hostpath-type-pv\limit-hostpath-type-pv.yaml;other;ACEPTADA;Semántica Correcta
limit-hostpath-vols.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
memory-requests-equal-limits.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
metadata-match-regex.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
mitigate-log4shell.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
mutate-large-termination-gps.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
mutate-pod-binding.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
namespace-inventory-check.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
namespace-protection.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\nfs-subdir-external-provisioner-storage-path\nfs-subdir-external-provisioner-storage-path.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_PersistentVolumeClaim_spec_']
only-trustworthy-registries-set-root.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\pdb-maxunavailable\pdb-maxunavailable.yaml;other;ACEPTADA;Semántica Correcta
artifact-hub.yml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
pdb-maxunavailable-with-deployments.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
pdb-minavailable.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\policy-for-exceptions\policy-for-exceptions.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_PolicyException_spec_match_all_resources_names', 'io_k8s_api_core_v1_PolicyException_spec_match_all_subjects_name', 'io_k8s_api_core_v1_PolicyException_spec_match_any_subjects_name']
prepend-image-registry.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
prevent-bare-pods.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\prevent-cr8escape\prevent-cr8escape.yaml;other;ACEPTADA;Semántica Correcta
other\prevent-duplicate-hpa\prevent-duplicate-hpa.yaml;other;ACEPTADA;Semántica Correcta
other\prevent-duplicate-vpa\prevent-duplicate-vpa.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_VerticalPodAutoscaler_spec_targetRef_kind']
other\protect-node-taints\protect-node-taints.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Node_request_operation_']
other\record-creation-details\record-creation-details.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_']
refresh-env-var-in-pod.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
refresh-volumes-in-pods.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
remove-hostpath-volumes.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
